year;month;decade;T_avg
2022;12;1;-25.58
2022;12;2;-21.95
2022;12;3;-14.05
2023;1;1;-19.84
2023;1;2;-26.2
2023;1;3;-17.59
2023;2;1;-19.4
2023;2;2;-17.5
2023;2;3;-19.56
2023;3;1;-19.0
2023;3;2;-5.9
2023;3;3;-9.95
2023;4;1;-4.4
2023;4;2;0.25
2023;4;3;5.2
2023;5;1;4.95
2023;5;2;5.25
2023;5;3;11.05
2023;6;1;18.6
2023;6;2;16.7
2023;6;3;24.15
2023;7;1;20.2
2023;7;2;19.95
2023;7;3;18.82
2023;8;1;18.3
2023;8;2;19.3
2023;8;3;16.5
2023;9;1;11.35
2023;9;2;9.6
2023;9;3;7.4
2023;10;1;5.75
2023;10;2;0.1
2023;10;3;-1.59
2023;11;1;-7.0
2023;11;2;-15.6
2023;11;3;-16.65
2023;12;1;-19.55
2023;12;2;-12.85
2023;12;3;-24.45
2024;1;1;-33.05
2024;1;2;-28.3
2024;1;3;-25.18
2024;2;1;-18.45
2024;2;2;-24.5
2024;2;3;-17.67
2024;3;1;-9.65
2024;3;2;-4.55
2024;3;3;-3.14
2024;4;1;-0.4
2024;4;2;1.05
2024;4;3;2.85
2024;5;1;4.8
2024;5;2;6.35
2024;5;3;15.68
2024;6;1;10.05
2024;6;2;17.4
2024;6;3;14.52
2024;7;1;17.0
2024;7;2;19.95
2024;7;3;20.23
2024;8;1;15.75
2024;8;2;15.75
2024;8;3;17.52
2024;9;1;13.65
2024;9;2;11.83
2024;9;3;8.0
2024;10;1;4.34
2024;10;2;4.13
2024;10;3;-2.96
2024;11;1;-8.7
2024;11;2;-7.36
2024;11;3;-11.19
2024;12;1;-7.95
2024;12;2;-13.12
2024;12;3;-20.23
2025;1;1;-20.5
2025;1;2;-24.8
2025;1;3;-24.91
2025;2;1;-19.95
2025;2;2;-10.73
2025;2;3;-15.19
2025;3;1;-16.77
2025;3;2;-14.3
2025;3;3;-5.28
2025;4;1;-0.48
2025;4;2;2.68
2025;4;3;5.25
2025;5;1;5.05
2025;5;2;9.33
2025;5;3;12.77
2025;6;1;14.7
2025;6;2;18.24
2025;6;3;14.25
2025;7;1;19.9
2025;7;2;18.0
2025;7;3;20.32
2025;8;1;20.45
2025;8;2;14.71
2025;8;3;18.32
2025;9;1;14.5
2025;9;2;13.45
2025;9;3;7.86
2025;10;1;0.8
2025;10;2;0.52
2025;10;3;-7.91
2025;11;1;-9.19
2025;11;2;-13.95
2025;11;3;-18.85
2025;12;1;-5.08
2025;12;2;-7.07
2025;12;3;-13.79
2026;1;1;-16.56
2026;1;2;-8.23
2026;1;3;-10.64
2026;2;1;-14.5
2026;2;2;-20.8
2026;2;3;-10.65
